period,strategy,months,risk_adjusted_months,cumulative_return,CAGR,annualized_volatility,Sharpe,Sortino,max_drawdown,Calmar,hit_rate
2006-2010,SPY,59,59,0.09297113667711865,0.018245772230137014,0.17885949617402208,0.0690460746632932,0.09127549019146988,-0.5078482192613465,0.03592760895504383,0.6101694915254238
2006-2010,SHY_cash,59,59,0.2184650574922593,0.04100665917180035,0.01683225303803811,1.1495532234978456,2.3906345733646455,-0.011806551741232352,3.473212168171986,0.8135593220338984
2006-2010,balanced_60_40,59,59,0.19741429854327075,0.037323277014329914,0.11182482205780209,0.18793785058503754,0.2532423551288998,-0.32315287415946137,0.11549727698201613,0.6271186440677966
2006-2010,equal_weight,59,59,0.41518564425112103,0.07318332193751553,0.12056569128824107,0.4659686295243115,0.654562987436084,-0.29454840608320976,0.24845940574141584,0.6101694915254238
2006-2010,AlphaCore_gross,60,60,0.440037821620056,0.07565940728538934,0.09106123639098619,0.6028891562186599,1.0427766396556006,-0.1093655668599357,0.6918028174469777,0.6333333333333333
2006-2010,AlphaCore_net,60,60,0.4215186199026686,0.07287842151383872,0.09104173346014682,0.5745779284433296,0.9868523335984946,-0.11147795918900616,0.6537473599626671,0.6333333333333333
2011-2015,SPY,60,60,0.7961597906887505,0.12426578523190623,0.11731548801790162,1.0554482318894844,1.8838939896798037,-0.16221298207440027,0.7660655987133678,0.65
2011-2015,SHY_cash,60,60,0.028081319584951858,0.0055542215222681435,0.006252249305197039,0.796817155669779,1.5915980036612678,-0.00547637190059691,1.014215546913961,0.6333333333333333
2011-2015,balanced_60_40,60,60,0.525558379169283,0.08814248317890105,0.06985499647591263,1.2390395762889026,2.352336023726025,-0.0820577594086781,1.0741517172059107,0.6333333333333333
2011-2015,equal_weight,60,60,0.1910890069322113,0.03559237305055318,0.0730415607261856,0.5074992433559958,0.8085799650944151,-0.06977977349610076,0.5100671909252049,0.55
2011-2015,AlphaCore_gross,60,60,0.48400521384277817,0.08214905706211595,0.07086618055149824,1.1444214582482146,2.0105544928467984,-0.07249856862600834,1.1331128133838158,0.6333333333333333
2011-2015,AlphaCore_net,60,60,0.46398967560167814,0.07921408014931952,0.07105222189268452,1.103147384121267,1.9220327399290011,-0.07636811377151886,1.0372664222965533,0.6
2016-2020,SPY,60,60,1.0198666905517255,0.1509714246527314,0.1515393367903398,0.9305226289766887,1.4556432905862333,-0.19447716691830175,0.7762938294764097,0.7666666666666667
2016-2020,SHY_cash,60,60,0.09251253525679104,0.017853526690745802,0.011055114689973548,0.6113229395968207,1.257199727038648,-0.008979444268694792,1.9882663287959694,0.6333333333333333
2016-2020,balanced_60_40,60,60,0.6868112747976787,0.11023087079085347,0.09165176179324748,1.0621634024597215,1.735760311279823,-0.1150201913025023,0.9583610455050197,0.7833333333333333
2016-2020,equal_weight,60,60,0.5642919083351075,0.09361273717380003,0.07820835770241497,1.0356711934797536,1.7325558637918281,-0.09241323713921101,1.0129797426399219,0.7
2016-2020,AlphaCore_gross,60,60,0.6424992178526661,0.10433550267352265,0.0839970472403837,1.0870925407205956,1.8207801545196383,-0.08493281688371157,1.228447454137508,0.7
2016-2020,AlphaCore_net,60,60,0.6204458936007038,0.10135393272855975,0.08399737881673411,1.0548031991562916,1.7559635838533851,-0.08592666899351364,1.1795398787797844,0.7
2021-2026,SPY,65,65,1.1243038451927414,0.14923600817004545,0.1535655277496274,0.7741545344163583,1.2351791996287687,-0.23927183963776422,0.6237090348616668,0.6615384615384615
2021-2026,SHY_cash,65,65,0.08898439601258645,0.015862122310662086,0.01986587907108822,-0.9457496350764495,-1.0594481392898736,-0.05362141062478698,0.2958169530760102,0.5846153846153846
2021-2026,balanced_60_40,65,65,0.5789444577845662,0.08798165582012474,0.10917871989975693,0.5296230250180739,0.7843244512477184,-0.20046033328061152,0.4388980821306172,0.6615384615384615
2021-2026,equal_weight,65,65,0.5043865947258028,0.07830913396086503,0.09719661392502646,0.48941333039276874,0.7248139699858971,-0.1866853646814539,0.41947120008301636,0.6461538461538462
2021-2026,AlphaCore_gross,65,65,0.550086641502989,0.084282981429737,0.0824483984532948,0.6280933452414309,0.9608669699884476,-0.1468542770768665,0.5739225517117326,0.6153846153846154
2021-2026,AlphaCore_net,65,65,0.5306166352994897,0.08175568665522404,0.08238500353191511,0.5998229403501119,0.9128709211977664,-0.14910850284339072,0.5482966101610742,0.6153846153846154
